movie_id,oscar_year,award
1,1927,Winner
2,1927,Nominee
3,1927,Nominee
4,1928,Winner
5,1928,Nominee
6,1928,Nominee
7,1928,Nominee
8,1928,Nominee
9,1929,Winner
10,1929,Nominee
11,1929,Nominee
12,1929,Nominee
13,1929,Nominee
14,1930,Winner
15,1930,Nominee
16,1930,Nominee
17,1930,Nominee
18,1930,Nominee
19,1931,Winner
20,1931,Nominee
21,1931,Nominee
22,1931,Nominee
23,1931,Nominee
24,1931,Nominee
25,1931,Nominee
26,1931,Nominee
27,1932,Winner
28,1932,Nominee
29,1932,Nominee
30,1932,Nominee
31,1932,Nominee
32,1932,Nominee
33,1932,Nominee
34,1932,Nominee
35,1932,Nominee
36,1932,Nominee
37,1934,Winner
38,1934,Nominee
39,1934,Nominee
40,1934,Nominee
41,1934,Nominee
42,1934,Nominee
43,1934,Nominee
44,1934,Nominee
45,1934,Nominee
46,1934,Nominee
47,1934,Nominee
48,1934,Nominee
49,1935,Winner
50,1935,Nominee
51,1935,Nominee
52,1935,Nominee
53,1935,Nominee
54,1935,Nominee
55,1935,Nominee
56,1935,Nominee
57,1935,Nominee
58,1935,Nominee
59,1935,Nominee
60,1935,Nominee
61,1936,Winner
62,1936,Nominee
63,1936,Nominee
64,1936,Nominee
65,1936,Nominee
66,1936,Nominee
67,1936,Nominee
68,1936,Nominee
69,1936,Nominee
70,1936,Nominee
71,1937,Winner
72,1937,Nominee
73,1937,Nominee
74,1937,Nominee
75,1937,Nominee
76,1937,Nominee
77,1937,Nominee
78,1937,Nominee
79,1937,Nominee
80,1937,Nominee
81,1938,Winner
82,1938,Nominee
83,1938,Nominee
84,1938,Nominee
85,1938,Nominee
86,1938,Nominee
87,1938,Nominee
88,1938,Nominee
89,1938,Nominee
90,1938,Nominee
91,1939,Winner
92,1939,Nominee
93,1939,Nominee
94,1939,Nominee
95,1939,Nominee
96,1939,Nominee
97,1939,Nominee
98,1939,Nominee
99,1939,Nominee
100,1939,Nominee
101,1940,Winner
102,1940,Nominee
103,1940,Nominee
104,1940,Nominee
105,1940,Nominee
106,1940,Nominee
107,1940,Nominee
108,1940,Nominee
109,1940,Nominee
110,1940,Nominee
111,1941,Winner
112,1941,Nominee
113,1941,Nominee
114,1941,Nominee
115,1941,Nominee
116,1941,Nominee
117,1941,Nominee
118,1941,Nominee
119,1941,Nominee
120,1941,Nominee
121,1942,Winner
122,1942,Nominee
123,1942,Nominee
124,1942,Nominee
125,1942,Nominee
126,1942,Nominee
127,1942,Nominee
128,1942,Nominee
129,1942,Nominee
130,1942,Nominee
131,1943,Winner
132,1943,Nominee
133,1943,Nominee
134,1943,Nominee
135,1943,Nominee
136,1943,Nominee
137,1943,Nominee
138,1943,Nominee
139,1943,Nominee
140,1943,Nominee
141,1944,Winner
142,1944,Nominee
143,1944,Nominee
144,1944,Nominee
145,1944,Nominee
146,1945,Winner
147,1945,Nominee
148,1945,Nominee
149,1945,Nominee
150,1945,Nominee
151,1946,Winner
152,1946,Nominee
153,1946,Nominee
154,1946,Nominee
155,1946,Nominee
156,1947,Winner
157,1947,Nominee
158,1947,Nominee
159,1947,Nominee
160,1947,Nominee
161,1948,Winner
162,1948,Nominee
163,1948,Nominee
164,1948,Nominee
165,1948,Nominee
166,1949,Winner
167,1949,Nominee
168,1949,Nominee
169,1949,Nominee
170,1949,Nominee
171,1950,Winner
172,1950,Nominee
173,1950,Nominee
174,1950,Nominee
175,1950,Nominee
176,1951,Winner
177,1951,Nominee
178,1951,Nominee
179,1951,Nominee
180,1951,Nominee
181,1952,Winner
182,1952,Nominee
183,1952,Nominee
184,1952,Nominee
185,1952,Nominee
186,1953,Winner
187,1953,Nominee
188,1953,Nominee
189,1953,Nominee
190,1953,Nominee
191,1954,Winner
192,1954,Nominee
193,1954,Nominee
194,1954,Nominee
195,1954,Nominee
196,1955,Winner
197,1955,Nominee
198,1955,Nominee
199,1955,Nominee
200,1955,Nominee
201,1956,Winner
202,1956,Nominee
203,1956,Nominee
204,1956,Nominee
205,1956,Nominee
206,1957,Winner
207,1957,Nominee
208,1957,Nominee
209,1957,Nominee
210,1957,Nominee
211,1958,Winner
212,1958,Nominee
213,1958,Nominee
214,1958,Nominee
215,1958,Nominee
216,1959,Winner
217,1959,Nominee
218,1959,Nominee
219,1959,Nominee
220,1959,Nominee
221,1960,Winner
222,1960,Nominee
223,1960,Nominee
224,1960,Nominee
225,1960,Nominee
226,1961,Winner
227,1961,Nominee
228,1961,Nominee
229,1961,Nominee
230,1961,Nominee
231,1962,Winner
232,1962,Nominee
233,1962,Nominee
234,1962,Winner
235,1962,Nominee
236,1963,Winner
237,1963,Nominee
238,1963,Nominee
239,1963,Nominee
240,1963,Nominee
241,1964,Winner
242,1964,Nominee
243,1964,Nominee
244,1964,Nominee
245,1964,Nominee
246,1965,Winner
247,1965,Nominee
248,1965,Nominee
249,1965,Nominee
250,1965,Nominee
251,1966,Winner
252,1966,Nominee
253,1966,Nominee
254,1966,Nominee
255,1966,Nominee
256,1967,Winner
257,1967,Nominee
258,1967,Nominee
259,1967,Nominee
260,1967,Nominee
261,1968,Winner
262,1968,Nominee
263,1968,Nominee
264,1968,Nominee
265,1968,Nominee
266,1969,Winner
267,1969,Nominee
268,1969,Nominee
269,1969,Nominee
270,1969,Nominee
271,1970,Winner
272,1970,Nominee
273,1970,Nominee
274,1970,Nominee
275,1970,Nominee
276,1971,Winner
277,1971,Nominee
278,1971,Nominee
279,1971,Nominee
280,1971,Nominee
281,1972,Winner
282,1972,Nominee
283,1972,Nominee
284,1972,Nominee
285,1972,Nominee
286,1973,Winner
287,1973,Nominee
288,1973,Nominee
289,1973,Nominee
290,1973,Nominee
291,1974,Winner
292,1974,Nominee
293,1974,Nominee
294,1974,Nominee
295,1974,Nominee
296,1975,Winner
297,1975,Nominee
298,1975,Nominee
299,1975,Nominee
300,1975,Nominee
301,1976,Winner
302,1976,Nominee
303,1976,Nominee
304,1976,Nominee
305,1976,Nominee
306,1977,Winner
307,1977,Nominee
308,1977,Nominee
309,1977,Nominee
310,1977,Nominee
311,1978,Winner
312,1978,Nominee
313,1978,Nominee
314,1978,Nominee
315,1978,Nominee
316,1979,Winner
317,1979,Nominee
318,1979,Nominee
319,1979,Nominee
320,1979,Nominee
321,1980,Winner
322,1980,Nominee
323,1980,Nominee
324,1980,Nominee
325,1980,Nominee
326,1981,Winner
327,1981,Nominee
328,1981,Nominee
329,1981,Nominee
330,1981,Nominee
331,1982,Winner
332,1982,Nominee
333,1982,Nominee
334,1982,Nominee
335,1982,Nominee
336,1983,Winner
337,1983,Nominee
338,1983,Nominee
339,1983,Nominee
340,1983,Nominee
341,1984,Winner
342,1984,Nominee
343,1984,Nominee
344,1984,Nominee
345,1984,Nominee
346,1985,Winner
347,1985,Nominee
348,1985,Nominee
349,1985,Nominee
350,1985,Nominee
351,1986,Winner
352,1986,Nominee
353,1986,Nominee
354,1986,Nominee
355,1986,Nominee
356,1987,Winner
357,1987,Nominee
358,1987,Nominee
359,1987,Nominee
360,1987,Nominee
361,1988,Winner
362,1988,Nominee
363,1988,Nominee
364,1988,Nominee
365,1988,Nominee
366,1989,Winner
367,1989,Nominee
368,1989,Nominee
369,1989,Nominee
370,1989,Nominee
371,1990,Winner
372,1990,Nominee
373,1990,Nominee
374,1990,Nominee
375,1990,Nominee
376,1991,Winner
377,1991,Nominee
378,1991,Nominee
379,1991,Nominee
380,1991,Nominee
381,1992,Winner
382,1992,Nominee
383,1992,Nominee
384,1992,Nominee
385,1992,Nominee
386,1993,Winner
387,1993,Nominee
388,1993,Nominee
389,1993,Nominee
390,1993,Nominee
391,1994,Winner
392,1994,Nominee
393,1994,Nominee
394,1994,Nominee
395,1994,Nominee
396,1995,Winner
397,1995,Nominee
398,1995,Nominee
399,1995,Nominee
400,1995,Nominee
401,1996,Winner
402,1996,Nominee
403,1996,Nominee
404,1996,Nominee
405,1996,Nominee
406,1997,Winner
407,1997,Nominee
408,1997,Nominee
409,1997,Nominee
410,1997,Nominee
411,1998,Winner
412,1998,Nominee
413,1998,Nominee
414,1998,Nominee
415,1998,Nominee
416,1999,Winner
417,1999,Nominee
418,1999,Nominee
419,1999,Nominee
420,1999,Nominee
421,2000,Winner
422,2000,Nominee
423,2000,Nominee
424,2000,Nominee
425,2000,Nominee
426,2001,Winner
427,2001,Nominee
428,2001,Nominee
429,2001,Nominee
430,2001,Nominee
431,2002,Winner
432,2002,Nominee
433,2002,Nominee
434,2002,Nominee
435,2002,Nominee
436,2003,Winner
437,2003,Nominee
438,2003,Nominee
439,2003,Nominee
440,2003,Nominee
441,2004,Winner
442,2004,Nominee
443,2004,Nominee
444,2004,Nominee
445,2004,Nominee
446,2005,Winner
447,2005,Nominee
448,2005,Nominee
449,2005,Nominee
450,2005,Nominee
451,2006,Winner
452,2006,Nominee
453,2006,Nominee
454,2006,Nominee
455,2006,Nominee
456,2007,Winner
457,2007,Nominee
458,2007,Nominee
459,2007,Nominee
460,2007,Nominee
461,2008,Winner
462,2008,Nominee
463,2008,Nominee
464,2008,Nominee
465,2008,Nominee
466,2009,Winner
467,2009,Nominee
468,2009,Nominee
469,2009,Nominee
470,2009,Nominee
471,2009,Nominee
472,2009,Nominee
473,2009,Nominee
474,2009,Nominee
475,2009,Nominee
476,2010,Winner
477,2010,Nominee
478,2010,Nominee
479,2010,Nominee
480,2010,Nominee
481,2010,Nominee
482,2010,Nominee
483,2010,Nominee
484,2010,Nominee
485,2010,Nominee
486,2011,Winner
487,2011,Nominee
488,2011,Nominee
489,2011,Nominee
490,2011,Nominee
491,2011,Nominee
492,2011,Nominee
493,2011,Nominee
494,2011,Nominee
495,2012,Winner
496,2012,Nominee
497,2012,Nominee
498,2012,Nominee
499,2012,Nominee
500,2012,Nominee
501,2012,Nominee
502,2012,Nominee
503,2012,Nominee
504,2013,Winner
505,2013,Nominee
506,2013,Nominee
507,2013,Nominee
508,2013,Nominee
509,2013,Nominee
510,2013,Nominee
511,2013,Nominee
512,2013,Nominee
513,2014,Winner
514,2014,Nominee
515,2014,Nominee
516,2014,Nominee
517,2014,Nominee
518,2014,Nominee
519,2014,Nominee
520,2014,Nominee
521,2015,Winner
522,2015,Nominee
523,2015,Nominee
524,2015,Nominee
525,2015,Nominee
526,2015,Nominee
527,2015,Nominee
528,2015,Nominee
529,2016,Winner
530,2016,Nominee
531,2016,Nominee
532,2016,Nominee
533,2016,Nominee
534,2016,Nominee
535,2016,Nominee
536,2016,Nominee
537,2016,Nominee
538,2017,Winner
539,2017,Nominee
540,2017,Nominee
541,2017,Nominee
542,2017,Nominee
543,2017,Nominee
544,2017,Nominee
545,2017,Nominee
546,2017,Nominee
547,2018,Winner
548,2018,Nominee
549,2018,Nominee
550,2018,Nominee
551,2018,Nominee
552,2018,Nominee
553,2018,Nominee
554,2018,Nominee
555,2019,Winner
556,2019,Nominee
557,2019,Nominee
558,2019,Nominee
559,2019,Nominee
560,2019,Nominee
561,2019,Nominee
562,2019,Nominee
563,2019,Nominee
564,2020,Nominee
565,2020,Nominee
566,2020,Nominee
567,2020,Nominee
568,2020,Nominee
569,2020,Nominee
570,2020,Nominee
571,2020,Nominee
